listing_id,title,price_chf,source_status,ad_text,location,profile_creation_year,profile_creation_missing,content_score,price_score,profile_score,fraud_index,manual_state_code,risk_target,content_band,price_band,profile_band,risk_band,risk_target_label,dataset,market_price_chf,price_ratio,confirmed_extreme,confirmed_positive,confirmed_negative
87,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état et sous garantie 1ans prix ferme 250e ,"Évreux, NOR",,1,1,3,2,6,2,1,unique,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
88,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible ,"Bron, ARA",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
89,iPhone 14 pro max neuf 512gb +facture,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état ,"Bordeaux, NAQ",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
90,iPhone 14 pro max neuf +facture,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état et sous garantie 1ans sans aucun soucis ni frais à prévoir ,"Lyon, ARA",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
91,iPhone 14 pro max neuf +facture 512gb,250,POSITIVE,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état ,"Amiens, HDF",2024.0,0,2,3,3,10,3,1,similar,suspiciously-low,new-profile,fraud-confirmed,unfavorable,exploratory_sample,850,0.29411764705882354,1,1,0
92,iPhone 14 pro max neuf 512gb +facture,250,POSITIVE,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état et sous garantie 1ans ,"Versailles, IDF",2024.0,0,2,3,3,10,3,1,similar,suspiciously-low,new-profile,fraud-confirmed,unfavorable,exploratory_sample,850,0.29411764705882354,1,1,0
93,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état et sous garantie 1ans ,"Montreuil, IDF",2024.0,0,2,3,3,8,2,1,similar,suspiciously-low,new-profile,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
94,iPhone 14 pro max neuf 512gb +facture,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état ,"Nevers, BFC",2024.0,0,2,3,3,8,2,1,similar,suspiciously-low,new-profile,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
95,iPhone 14 pro max neuf 512gb,250,POSITIVE,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état et sous garantie 1ans ,"Rouen, NOR",2024.0,0,2,3,3,10,3,1,similar,suspiciously-low,new-profile,fraud-confirmed,unfavorable,exploratory_sample,850,0.29411764705882354,1,1,0
96,iPhone 14 pro max neuf +facture 512gb,250,IDENTIFIED,Bonjour je vends mon téléphone portable iPhone 14 pro max neuf +facture 512gb d'origine en occasion neuf est toujours disponible en bon état avec la garantie 1ans ,"Lons-le-Saunier, BFC",,1,2,3,2,7,2,1,similar,suspiciously-low,intermediate-or-missing,marked,unfavorable,exploratory_sample,850,0.29411764705882354,0,0,0
